,id,section,section_vietnamese,name,name_vietnamese,item_option,price
,,Appetizers,Mon Thai Vi,Spring Rolls (Mixed Meats),Cha Gio,2 rolls,6.50
,,Appetizers,Mon Thai Vi,Spring Rolls (Mixed Meats),Cha Gio,4 rolls,12.50
,,Appetizers,Mon Thai Vi,Shrimp Rolls,Goi Cuon Tom,2 rolls,6.95
,,Appetizers,Mon Thai Vi,Shrimp Rolls,Gio Cuon Tom,4 rolls,13.50
,,Appetizers,Mon Thai Vi,Grilled Pork Rolls,Goi Cuon Thit Nuong,2 rolls,6.95
,,Appetizers,Mon Thai Vi,Grilled Pork Rolls,Goi Cuon Thit Nuong,4 rolls,13.50
,,Appetizers,Mon Thai Vi,Grilled Beef Rolls,Goi Cuon Bo Nuong,2 rolls,7.50
,,Appetizers,Mon Thai Vi,Grilled Beef Rolls,Goi Cuon Bo Nuong,4 rolls,13.95
,,Appetizers,Mon Thai Vi,Grilled Meat Balls Rolls,Nem Nuon Cuon,2 rolls,6.95
,,Appetizers,Mon Thai Vi,Grilled Meat Balls Rolls,Nem Nuon Cuon,4 rolls,13.50
,,Appetizers,Mon Thai Vi,Shredded Pork Rolls,Bi Cuon,2 rolls,7.50
,,Appetizers,Mon Thai Vi,Shredded Pork Rolls,Bi Cuon,4 rolls,13.95
,,Appetizers,Mon Thai Vi,Minced Shrimp on Sugar Can,Chao Tom,2 pieces,7.95
,,Appetizers,Mon Thai Vi,Minced Shrimp on Sugar Can,Chao Tom,4 pieces,14.95
,,Appetizers,Mon Thai Vi,Grilled Pork Meat Balls,Nem Nuon,2 pieces,7.50
,,Appetizers,Mon Thai Vi,Grilled Pork Meat Balls,Nem Nuon,4 pieces,13.95
,,Appetizers,Mon Thai Vi,Deep Fried Cheese Wontons with Shrimp and Crab Meats,Wonton Pho Mai Chien,4 pieces,7.95
,,Appetizers,Mon Thai Vi,Thai Fresh Mango Salad with Cashew Nuts,Ga Nuong,no meat,13.50
,,Appetizers,Mon Thai Vi,Thai Fresh Mango Salad with Cashew Nuts,Ga Nuong,grilled chicken,14.50
,,Appetizers,Mon Thai Vi,Thai Fresh Mango Salad with Cashew Nuts,Ga Nuong,shrimp,14.95
,,Appetizers,Mon Thai Vi,Vietnamese Fried Shrimp Cake and Mungbean,Banh Cong,2 pieces,7.50
,,Appetizers,Mon Thai Vi,"Steamed Ground Pork Rice Rolls, Vietnamese Ham",Banh Cuon Cha Lua,,10.95
,,Appetizers,Mon Thai Vi,"Steamed Ground Pork Rice Rolls, Fried Shrimp Cake with Vietnamese Ham","Banh con (Cha Lua, Banh Cong)",,13.50
,,Appetizers,Mon Thai Vi,Deep Fried Shrimp Tempura,Tom Chien Xu,10 pieces,12.50
,,Appetizers,Mon Thai Vi,Thai Style Tom Yum Soup,Lua Thai,tofu - no meat,12.95
,,Appetizers,Mon Thai Vi,Thai Style Tom Yum Soup,Lua Thai,chicken,13.95
,,Appetizers,Mon Thai Vi,Thai Style Tom Yum Soup,Lua Thai,shrimp,14.95
,,Appetizers,Mon Thai Vi,Thai Tom Kha Kai Coconut Sour Soup,Lua Thai,tofu - no meat,12.95
,,Appetizers,Mon Thai Vi,Thai Tom Kha Kai Coconut Sour Soup,Lua Thai,chicken,13.95
,,Appetizers,Mon Thai Vi,Thai Tom Kha Kai Coconut Sour Soup,Lua Thai,shrimp,14.95
,,Appetizers,Mon Thai Vi,Deep Fried Chicken Wings,Chicken Wings,,12.50
,,Rice Noodle Soup,Pho,Sunrise Special House Beef Noodle Soup,Pho dac Biet Sunrise,small,10.95
,,Rice Noodle Soup,Pho,Sunrise Special House Beef Noodle Soup,Pho dac Biet Sunrise,medium,11.95
,,Rice Noodle Soup,Pho,Sunrise Special House Beef Noodle Soup,Pho dac Biet Sunrise,large,13.95
,,Rice Noodle Soup,Pho,Sunrise Special House Beef Noodle Soup,Pho dac Biet Sunrise,extra large,14.95
,,Rice Noodle Soup,Pho,"Rare Lean Beef, Well Done Flank, Beef Balls Rice Noodle Soup","Pho Tai, Nam, Bo Vien",small,10.95
,,Rice Noodle Soup,Pho,"Rare Lean Beef, Well Done Flank, Beef Balls Rice Noodle Soup","Pho Tai, Nam, Bo Vien",medium,11.95
,,Rice Noodle Soup,Pho,"Rare Lean Beef, Well Done Flank, Beef Balls Rice Noodle Soup","Pho Tai, Nam, Bo Vien",large,13.95
,,Rice Noodle Soup,Pho,"Rare Lean Beef, Well Done Flank, Beef Balls Rice Noodle Soup","Pho Tai, Nam, Bo Vien",extra large,14.95
,,Rice Noodle Soup,Pho,"Rare Lean Beef, Flank, Soft Tendon, Tripe, Beef Balls with Chicken Rice Noodle Soup","Pho Bo, Ga",small,10.95
,,Rice Noodle Soup,Pho,"Rare Lean Beef, Flank, Soft Tendon, Tripe, Beef Balls with Chicken Rice Noodle Soup","Pho Bo, Ga",medium,11.95
,,Rice Noodle Soup,Pho,"Rare Lean Beef, Flank, Soft Tendon, Tripe, Beef Balls with Chicken Rice Noodle Soup","Pho Bo, Ga",large,13.95
,,Rice Noodle Soup,Pho,"Rare Lean Beef, Flank, Soft Tendon, Tripe, Beef Balls with Chicken Rice Noodle Soup","Pho Bo, Ga",extra large,14.95
,,Rice Noodle Soup,Pho,Shrimp Noodle Soup,Pho Tom,small,10.95
,,Rice Noodle Soup,Pho,Shrimp Noodle Soup,Pho Tom,medium,11.95
,,Rice Noodle Soup,Pho,Shrimp Noodle Soup,Pho Tom,large,13.95
,,Rice Noodle Soup,Pho,Shrimp Noodle Soup,Pho Tom,extra large,14.95
,,Rice Noodle Soup,Pho,Rare Lean Beef Rice Noodle Soup,Pho Tai,small,10.50
,,Rice Noodle Soup,Pho,Rare Lean Beef Rice Noodle Soup,Pho Tai,medium,11.50
,,Rice Noodle Soup,Pho,Rare Lean Beef Rice Noodle Soup,Pho Tai,large,13.50
,,Rice Noodle Soup,Pho,Rare Lean Beef Rice Noodle Soup,Pho Tai,extra large,14.50
,,Rice Noodle Soup,Pho,"Rare Lean Beef, Well Done Beef Flank Rice Noodle Soup","Pho Tai, Nam (Chin)",small,10.50
,,Rice Noodle Soup,Pho,"Rare Lean Beef, Well Done Beef Flank Rice Noodle Soup","Pho Tai, Nam (Chin)",medium,11.50
,,Rice Noodle Soup,Pho,"Rare Lean Beef, Well Done Beef Flank Rice Noodle Soup","Pho Tai, Nam (Chin)",large,13.50
,,Rice Noodle Soup,Pho,"Rare Lean Beef, Well Done Beef Flank Rice Noodle Soup","Pho Tai, Nam (Chin)",extra large,14.50
,,Rice Noodle Soup,Pho,"Rare Lean Beef, Beef Balls Rice Noodle Soup","Pho Tai, Bo Vien",small,10.50
,,Rice Noodle Soup,Pho,"Rare Lean Beef, Beef Balls Rice Noodle Soup","Pho Tai, Bo Vien",medium,11.50
,,Rice Noodle Soup,Pho,"Rare Lean Beef, Beef Balls Rice Noodle Soup","Pho Tai, Bo Vien",large,13.50
,,Rice Noodle Soup,Pho,"Rare Lean Beef, Beef Balls Rice Noodle Soup","Pho Tai, Bo Vien",extra large,14.50
,,Rice Noodle Soup,Pho,"Rare Lean Beef, Brisket Rice Noodle Soup","Pho Tai, Gau",small,10.50
,,Rice Noodle Soup,Pho,"Rare Lean Beef, Brisket Rice Noodle Soup","Pho Tai, Gau",medium,11.50
,,Rice Noodle Soup,Pho,"Rare Lean Beef, Brisket Rice Noodle Soup","Pho Tai, Gau",large,13.50
,,Rice Noodle Soup,Pho,"Rare Lean Beef, Brisket Rice Noodle Soup","Pho Tai, Gau",extra large,14.50
,,Rice Noodle Soup,Pho,"Rare Lean Beef, Soft Tendon Rice Noodle Soup","Pho Tai, Gan",small,10.50
,,Rice Noodle Soup,Pho,"Rare Lean Beef, Soft Tendon Rice Noodle Soup","Pho Tai, Gan",medium,11.50
,,Rice Noodle Soup,Pho,"Rare Lean Beef, Soft Tendon Rice Noodle Soup","Pho Tai, Gan",large,13.50
,,Rice Noodle Soup,Pho,"Rare Lean Beef, Soft Tendon Rice Noodle Soup","Pho Tai, Gan",extra large,14.50
,,Rice Noodle Soup,Pho,"Rare Lean Beef, Beef Tripe Rice Noodle Soup","Pho Tai, Sach",small,10.50
,,Rice Noodle Soup,Pho,"Rare Lean Beef, Beef Tripe Rice Noodle Soup","Pho Tai, Sach",medium,11.50
,,Rice Noodle Soup,Pho,"Rare Lean Beef, Beef Tripe Rice Noodle Soup","Pho Tai, Sach",large,13.50
,,Rice Noodle Soup,Pho,"Rare Lean Beef, Beef Tripe Rice Noodle Soup","Pho Tai, Sach",extra large,14.50
